YR,MONTH,HPI,STATE
1984,MAY,58.94,AL
1984,JUN,59.21,AL
1984,JUL,59.32,AL
1984,AUG,59.17,AL
1984,SEP,58.7,AL
1984,OCT,58.03,AL
1984,NOV,57.36,AL
1984,DEC,56.98,AL
1985,JAN,57.32,AL
1985,FEB,58.25,AL
1985,MAR,59,AL
1985,ARP,59.37,AL
1985,MAY,59.68,AL
1985,JUN,60.14,AL
1985,JUL,60.6,AL
1985,AUG,60.83,AL
1985,SEP,60.84,AL
1985,OCT,60.94,AL
1985,NOV,61.22,AL
1985,DEC,61.43,AL
1986,JAN,61.55,AL
1986,FEB,61.81,AL
1986,MAR,62.33,AL
1986,ARP,62.8,AL
1986,MAY,62.98,AL
1986,JUN,62.95,AL
1986,JUL,63.24,AL
1986,AUG,63.79,AL
1986,SEP,64.03,AL
1986,OCT,64.13,AL
1986,NOV,64.35,AL
1986,DEC,64.61,AL
1987,JAN,64.85,AL
1987,FEB,65.08,AL
1987,MAR,65.37,AL
1987,ARP,65.62,AL
1987,MAY,65.78,AL
1987,JUN,65.9,AL
1987,JUL,65.97,AL
1987,AUG,65.95,AL
1987,SEP,65.8,AL
1987,OCT,65.64,AL
1987,NOV,65.65,AL
1987,DEC,65.8,AL
1988,JAN,66.05,AL
1988,FEB,66.36,AL
1988,MAR,66.7,AL
1988,ARP,67.02,AL
1988,MAY,67.37,AL
1988,JUN,67.7,AL
1988,JUL,67.75,AL
1988,AUG,67.42,AL
1988,SEP,66.92,AL
1988,OCT,66.59,AL
1988,NOV,66.51,AL
1988,DEC,66.64,AL
1989,JAN,66.92,AL
1989,FEB,67.29,AL
1989,MAR,67.7,AL
1989,ARP,68.07,AL
1989,MAY,68.28,AL
1989,JUN,68.38,AL
1989,JUL,68.54,AL
1989,AUG,68.83,AL
1989,SEP,69.14,AL
1989,OCT,69.41,AL
1989,NOV,69.61,AL
1989,DEC,69.67,AL
1990,JAN,69.6,AL
1990,FEB,69.56,AL
1990,MAR,69.66,AL
1990,ARP,69.89,AL
1990,MAY,70.15,AL
1990,JUN,70.3,AL
1990,JUL,70.33,AL
1990,AUG,70.37,AL
1990,SEP,70.49,AL
1990,OCT,70.6,AL
1990,NOV,70.58,AL
1990,DEC,70.44,AL
1991,JAN,70.35,AL
1991,FEB,70.49,AL
1991,MAR,70.81,AL
1991,ARP,71.18,AL
1991,MAY,71.49,AL
1991,JUN,71.68,AL
1991,JUL,71.76,AL
1991,AUG,71.84,AL
1991,SEP,71.95,AL
1991,OCT,72.1,AL
1991,NOV,72.3,AL
1991,DEC,72.46,AL
1992,JAN,72.59,AL
1992,FEB,72.8,AL
1992,MAR,73.03,AL
1992,ARP,73.18,AL
1992,MAY,73.34,AL
1992,JUN,73.57,AL
1992,JUL,73.92,AL
1992,AUG,74.43,AL
1992,SEP,74.89,AL
1992,OCT,75.15,AL
1992,NOV,75.23,AL
1992,DEC,75.17,AL
1993,JAN,75.12,AL
1993,FEB,75.33,AL
1993,MAR,75.74,AL
1993,ARP,76.11,AL
1993,MAY,76.51,AL
1993,JUN,77,AL
1993,JUL,77.44,AL
1993,AUG,77.78,AL
1993,SEP,78.07,AL
1993,OCT,78.32,AL
1993,NOV,78.43,AL
1993,DEC,78.47,AL
1994,JAN,78.52,AL
1994,FEB,78.79,AL
1994,MAR,79.41,AL
1994,ARP,80.12,AL
1994,MAY,80.63,AL
1994,JUN,80.9,AL
1994,JUL,81.03,AL
1994,AUG,81.1,AL
1994,SEP,81.23,AL
1994,OCT,81.53,AL
1994,NOV,81.97,AL
1994,DEC,82.34,AL
1995,JAN,82.51,AL
1995,FEB,82.6,AL
1995,MAR,82.71,AL
1995,ARP,82.9,AL
1995,MAY,83.16,AL
1995,JUN,83.5,AL
1995,JUL,83.89,AL
1995,AUG,84.25,AL
1995,SEP,84.36,AL
1995,OCT,84.32,AL
1995,NOV,84.39,AL
1995,DEC,84.53,AL
1996,JAN,84.73,AL
1996,FEB,85.07,AL
1996,MAR,85.69,AL
1996,ARP,86.48,AL
1996,MAY,87.03,AL
1996,JUN,87.29,AL
1996,JUL,87.39,AL
1996,AUG,87.51,AL
1996,SEP,87.77,AL
1996,OCT,87.99,AL
1996,NOV,87.91,AL
1996,DEC,87.77,AL
1997,JAN,87.9,AL
1997,FEB,88.31,AL
1997,MAR,88.84,AL
1997,ARP,89.3,AL
1997,MAY,89.71,AL
1997,JUN,90.12,AL
1997,JUL,90.43,AL
1997,AUG,90.52,AL
1997,SEP,90.4,AL
1997,OCT,90.36,AL
1997,NOV,90.5,AL
1997,DEC,90.64,AL
1998,JAN,90.69,AL
1998,FEB,90.8,AL
1998,MAR,91.2,AL
1998,ARP,91.76,AL
1998,MAY,92.22,AL
1998,JUN,92.51,AL
1998,JUL,92.82,AL
1998,AUG,93.09,AL
1998,SEP,93.25,AL
1998,OCT,93.49,AL
1998,NOV,93.75,AL
1998,DEC,93.89,AL
1999,JAN,94,AL
1999,FEB,94.3,AL
1999,MAR,94.82,AL
1999,ARP,95.31,AL
1999,MAY,95.74,AL
1999,JUN,96.18,AL
1999,JUL,96.47,AL
1999,AUG,96.7,AL
1999,SEP,96.91,AL
1999,OCT,97.14,AL
1999,NOV,97.43,AL
1999,DEC,97.62,AL
